videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
cddc3f69,0,00:00:00,2025-01-23T13:00:00,13:00:00,8,8,8,8,1,3,4,0.7917,94.48,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.117658,8.232,0.9718,
cddc3f69,1,00:00:01,2025-01-23T13:00:01,13:00:01,13,13,18,18,0,4,9,0.8974,98.46,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.117658,8.232,1.0,
cddc3f69,2,00:00:02,2025-01-23T13:00:02,13:00:02,3,3,20,20,1,2,0,0.5556,39.31,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.3644,
cddc3f69,3,00:00:03,2025-01-23T13:00:03,13:00:03,5,5,22,22,0,4,1,0.7333,62.63,D,"limited space, constrained movement",moderate,roi-testing,,0.117658,8.232,0.6074,
cddc3f69,4,00:00:04,2025-01-23T13:00:04,13:00:04,2,2,24,24,0,0,2,1.0,35.65,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.2429,
cddc3f69,5,00:00:05,2025-01-23T13:00:05,13:00:05,4,4,28,28,0,0,4,1.0,56.3,D,"limited space, constrained movement",moderate,roi-testing,,0.117658,8.232,0.4859,
cddc3f69,6,00:00:06,2025-01-23T13:00:06,13:00:06,8,8,33,33,0,1,7,0.9583,96.98,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.117658,8.232,0.9718,
cddc3f69,7,00:00:07,2025-01-23T13:00:07,13:00:07,6,6,37,37,0,0,6,1.0,76.95,E,"crowded conditions, frequent interference",heavy,roi-testing,,0.117658,8.232,0.7288,
cddc3f69,8,00:00:08,2025-01-23T13:00:08,13:00:08,7,7,43,43,1,2,4,0.8095,84.42,E,"crowded conditions, frequent interference",heavy,roi-testing,,0.117658,8.232,0.8503,
